StreamID,CentroidX,CentroidY,Source,TreatmentName,BiomassUtilized,TreatmentStatus,FundedProjectName,TreatmentCategory,PendingStateReview,FederalGrantProgram,ActualCompletionDate,FederalFundingAmount,FederalGrantFiscalYear,TreatmentAcresReported,TreatmentIdentifierDatabase,LeveragedByIndirectFederalFunding
43050992-d310-42f0-b884-5f7f07ae661f,-18.84793029,17.64634232,California,2022 Fuels Reduction,No,Completed,,N/A,0,0,,,,45,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
a5e722e1-24a3-46a0-b2c3-3f6fd1741b99,-11.71834571,20.01578873,Idaho,,No,Completed,,Prescribed Burn,2,Cross Boundary,1.62546E+12,5435.956253,2019,13.5898906315314,683b8420-09e9-4315-b874-2eb8aab25889,0
0f7fa8e4-28aa-41d1-b690-be611d01c22a,-15.26594438,26.49668839,Washington,,No,Completed,,Other,2,HFR,1.59444E+12,28795,2016,65,211b17f0-9bd9-4c64-a69c-83fa332a9be4,0
785be213-8abf-4fbc-ab01-6d19f70cfe28,-16.16029067,26.39015099,Washington,,No,Completed,,Prescribed Burn,2,HFR,1.64784E+12,14496,2022,48,211b17f0-9bd9-4c64-a69c-83fa332a9be4,0
a24ff9d8-45a6-499b-9c77-5eb679d544e2,-14.24816613,26.27092461,Washington,,No,Completed,,Other,2,JCLR,1.68041E+12,98688,2023,128,211b17f0-9bd9-4c64-a69c-83fa332a9be4,0
1d1fbf53-f0de-4db4-b663-7c969e448b91,-14.93408942,26.41220518,Washington,,Yes,Completed,,Mechanical,2,SFC - Mitigation,1.55772E+12,,2015,31,211b17f0-9bd9-4c64-a69c-83fa332a9be4,0
3307c828-0d7f-415a-8a4c-7621f7f669bf,-14.01084127,25.62127546,Idaho,,No,Completed,,Prescribed Burn,2,WRR,1.53586E+12,1292.025336,2016,1.09308404044872,683b8420-09e9-4315-b874-2eb8aab25889,0
e128a873-9d50-4966-a2bd-f2211490d191,-13.71673347,25.73493757,Idaho,,Yes,Completed,,Mechanical,2,Unknown,1.55703E+12,885.4562686,2018,1.22980037308328,683b8420-09e9-4315-b874-2eb8aab25889,0
4b6666ea-4db1-4633-a4e8-2d03653a85dd,-14.74664502,26.53587658,Washington,,Yes,Completed,,Other,2,WRR,1.54865E+12,102422,2014,166,211b17f0-9bd9-4c64-a69c-83fa332a9be4,0
a59fd554-6ff2-4c9a-ac4e-c35f45ec8e28,-18.41357632,16.70634128,California,El Portal Road,No,Completed,,N/A,0,0,,,,77,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
03c6aa8f-d753-4fd9-9806-e57c28701558,-14.15056336,22.78180047,Idaho,,Yes,Completed,,Chemical,2,BIL SFA,1.52307E+12,11123.30037,2018,21.066856763259,683b8420-09e9-4315-b874-2eb8aab25889,0
44cdeee1-f71e-431e-8ea0-66488d9b2869,-14.43484246,26.21746508,Washington,,Yes,Completed,,Other,2,HFR,1.65336E+12,53130,2020,55,211b17f0-9bd9-4c64-a69c-83fa332a9be4,0
70a975db-c5ec-43d6-806d-a78f85ad894e,-15.13677939,26.65360973,Washington,,No,Completed,,Mechanical,2,Unknown,1.64162E+12,,2019,14,211b17f0-9bd9-4c64-a69c-83fa332a9be4,0
6c6f93fa-902b-4ee8-ba5f-a71dc8bd9bcc,-14.21917828,24.0355864,Idaho,,Yes,Completed,,Chemical,2,Cross Boundary,,18367.33037,2017,15.2552577807218,683b8420-09e9-4315-b874-2eb8aab25889,0
a178e430-0528-413c-ac0b-d5a88a35bfa8,1.505097122,9.570558688,Texas,,Yes,Completed,,Other,2,WRR,1.61475E+12,173645.1531,2020,199.821810242558,eb7ab6ac-2d66-41f4-bfba-5dbe666c38ce,0
6af90226-8427-4d9d-8245-448dcfcca9ff,-14.83941026,26.55880267,Washington,,No,Completed,,Prescribed Burn,2,USFS SFC,1.53888E+12,134673,2017,231,211b17f0-9bd9-4c64-a69c-83fa332a9be4,0
06f7159e-da2e-41a7-9015-9cfc06986096,1.129636509,8.359040263,Texas,,Yes,Completed,,Other,2,USFS SFC,1.61932E+12,81216.96387,2020,230.076384903413,eb7ab6ac-2d66-41f4-bfba-5dbe666c38ce,0
4c4e73e5-feac-4d83-861a-40db51e7a902,-18.14504814,13.55777934,California,01 - Green Valley,No,Completed,,N/A,0,0,,,,73,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
f08ddd88-ef08-41c6-9423-5c39525d75d0,-20.00644864,19.70490914,California,R Wild Ranch Dozer Training,No,Completed,,N/A,0,0,,,,55,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
f92ac5d9-5f28-447e-9d64-d4c30b48b073,-19.63869697,14.7668875,California,FY 19/20 HFR GRANT,No,Completed,,N/A,0,0,,,,773,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
d82ff418-d7c8-49c4-b6eb-a81a94c0ee7e,-18.54493174,18.17876761,California,01 American River Headwaters,No,Completed,,N/A,0,0,,,,1197,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
684f4b4e-bc25-4b19-8a08-946bb0e7d42a,-19.96968096,19.36351749,California,Pellows Road,No,Completed,,N/A,0,0,,,,216,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
